stage_code,stage,taxa_name,lw_reg_eqn,slope_b,int_a,lw_reg_length_type,lw_reg_weight_type,lw_reg_source_primary,lw_reg_doi,lw_reg_location,lw_reg_source_secondary,lw_reg_notes
Not_Staged,Not_Staged,Phaennidae,log10(C_ug) = 2.512 * log10(PL_um) - 6.76,2.512,-6.76,PL,C,Lavaniegos_Ohman_2007,10.1016/j.pocean.2007.07.002,North Pacific,NA,Eqn. for Copepods
Not_Staged,Not_Staged,Pleuromamma,log10(DW_ug) = 2.723 * log10(PL_um) - 6.892,2.723,-6.892,PL,DW,Yamaguchi_Ikeda_2000,10.1093/plankt/22.1.29,western North Pacific Ocean,Nakamura_et_al_2017;Jimenez-Perez_Lavaniegos_2004,CI-CVI;Eqn. for Pleuromamma scutullata not found in NES
Not_Staged,Not_Staged,Pleuromamma borealis,log10(DW_ug) = 2.723 * log10(PL_um) - 6.892,2.723,-6.892,PL,DW,Yamaguchi_Ikeda_2000,10.1093/plankt/22.1.29,western North Pacific Ocean,Nakamura_et_al_2017;Jimenez-Perez_Lavaniegos_2004,CI-CVI;Eqn. for Pleuromamma scutullata not found in NES
Not_Staged,Not_Staged,Podon,log10(C_ug) = 4.15 * log10(SL_um) - 11.15,4.15,-11.15,SL,C,Uye_1982,10.1007/BF02110286,Japan,Pitois_Fox_2006;Rose_et_al_2004,Eqn. for Podon leuckarti;standard length
Not_Staged,Not_Staged,Podon,log10(DW_ug) = 3.90 * log10(SL_um) - 10.12,3.9,-10.12,SL,DW,Uye_1982,10.1007/BF02110286,Japan,Pitois_Fox_2006;Rose_et_al_2004,Eqn. for Podon leuckarti;standard length;Podon polyphemoides log DW = 4.08 log L - 10.6;General cladoceran eqn. log10(DW_ug) = 1.05 * log10(BL_um) - 2.59 in Rose_et_al_2004;Pitois paper reports different units than Rose
Not_Staged,Not_Staged,Polychaeta,log10(C_ug) = 1.38 * log10(BL_um) - 3.80,1.38,-3.8,TL,C,Hansen_1999,10.3354/meps178109,Denmark,Swalethorp_et_al_2014;Lavaniegos_Ohman_2007;Hirota_1986,Eqn. for Polydora spp.;larvae;Table S1
Not_Staged,Not_Staged,Polychaeta,log10(DW_ug) = 1.53 * log10(TL_um) - 3.10,1.53,-3.1,TL,DW,Nakamura_et_al_2017,10.6620/ZS.2017.56-13,Pacific,Imao_2005;McGinty_et_al_2023,Eqn. for Annelida spp.;Data Sheet 1 Supp.Table 1
Not_Staged,Not_Staged,Pontellidae,log10(DW_ug) = 2.637 * log10(PL_um) - 7.42,2.637,-7.42,PL,DW,Ara_2001,"CIT:Ara, K. 2001. Length-weight relationships and chemical content of the planktonic copepods in the Cananeia Lagoon estuarine system, Sao Paulo, Brazil. Plankton Biology and Ecology 48: 121–127.",Brazil,Hernandez-Trujillo_et_al_2014;McGinty_et_al_2023;ICES_WGZE_COPEPEDIA,Eqn. for Labidocera fluviatilis;Data Sheet 1 Supp.Table 1
Not_Staged,Not_Staged,Pseudocalanidae,log10(DW_ug) = 2.08 * log10(TL_um) - 5.456,2.08,-5.456,TL,DW,Lee_et_al_2003,10.1093/plankt/25.3.261,Funka Bay;Japan,Nakamura_et_al_2017,Eqn. for Pseudocalanus newmani;CI-CV;10C temp
Not_Staged,Not_Staged,Pseudocalanidae,log10(DW_ug) = 2.7302 * log10(CL_um) - 6.9121,2.7302,-6.9121,CL,DW,KleinBreteler_et_al_1982,10.1016/0077-7579(82)90030-8,North Sea and Cultured copepodites,KleinBreteler_Gonzalez_1988,Eqn. for Pseudocalanus spp.;CI-CVI;cephalothorax length;their other paper uses PL for this
Not_Staged,Not_Staged,Pseudocalanidae,log10(DW_ug) = 2.40 * log10(PL_um) - 5.97,2.4,-5.97,PL,DW,Ohman_1985,URL:https://escholarship.org/uc/item/6fk0f0rk,Dabob Bay;Washington USA;Pacific,NA,Eqn. for Pseudocalanus spp.;females
Not_Staged,Not_Staged,Pseudocalanus minutus,log10(C_ug) = 3.6400 * log10(CL_um) - 10.1550,3.64,-10.155,PL,C,McLaren_1969,10.1139/f69-139,Baffin Island,ICES_WGZE_COPEPEDIA,same as adult;CIII-CVI;original Cephalothorax Cug = 5.83 L ^3.64
Not_Staged,Not_Staged,Pseudocalanus minutus,log10(DW_ug) = 3.649 * log10(PL_um) - 9.870,3.649,-9.87,PL,DW,McLaren_1969,10.1139/f69-139,Baffin Island,ICES_WGZE_COPEPEDIA,same as adult
Not_Staged,Not_Staged,Pseudodiaptomus,log10(C_ug) = 3.1710 * log10(PL_um) - 8.6300,3.171,-8.63,PL,C,Uye_1983,10.1007/BF00396289,Sea of Japan,ICES_WGZE_COPEPEDIA,Pseudodiaptomus marinus CI-CVI
Not_Staged,Not_Staged,Pseudodiaptomus,log10(C_ug) = 2.81 * log10(TL_um) - 8.03,2.81,-8.03,TL,C,Uye_et_al_1983,10.1007/BF00396289,,NA,Eqn. for Pseudodiaptomus marinus adults and copepodites;body length
Not_Staged,Not_Staged,Pseudodiaptomus,log10(C_ug) = 3.17 * log10(PL_um) - 8.63,3.17,-8.63,PL,C,Uye_et_al_1983,10.1007/BF00396289,,NA,Eqn. for Pseudodiaptomus marinus adults and copepodites
Not_Staged,Not_Staged,Pseudodiaptomus,log10(DW_ug) = 2.392 * log10(TL_um) - 6.540,2.392,-6.54,TL,DW,Brun_et_al_2017,10.5194/essd-9-99-2017,NA,ICES_WGZE_COPEPEDIA,Pseudodiaptomus hessei
Not_Staged,Not_Staged,Rhincalanus,log10(C_ug) = 4.30 * log10(BL_um) - 13.368,4.3,-13.368,TL,C,Mullin_Brooks_1967,10.4319/lo.1967.12.4.0657,Cultured CCE,NA,Eqn. for R. nasutus;CI-CVI
Not_Staged,Not_Staged,Rhincalanus,log10(DW_ug) = 3.600 * log10(BL_um) - 10.661,3.6,-10.661,TL,DW,Mullin_Brooks_1967,10.4319/lo.1967.12.4.0657,Cultured CCE,NA,Eqn. for R. nasutus;CI-CVI
Not_Staged,Not_Staged,Rhincalanus,log10(WW_ug) = 3.22 * log10(TL_um) - 8.63,3.22,-8.63,TL,WW,Cass_et_al_2011,10.3354/meps09324,Costa Rica,NA,Eqn. for R. nasutus
Not_Staged,Not_Staged,Sagitta,log10(C_ug) = 3.13 * log10(L_um) - 11.0427,3.13,-11.0427,TL,C,Arendt_et_al_2013,10.1093/plankt/fbs087,Arctic,Conway_Robins_1991,very close to Uye_1982 eqn. intercept a bit lower
Not_Staged,Not_Staged,Sagitta,log10(DW_ug) = 2.80 * log10(TL_um) - 9,2.8,-9,TL,DW,McGinty_et_al_2023,10.3389/fmars.2023.989770,Japan,Imao_2005,Eqn. for Chaetognatha;Data Sheet 1 Supp.Table 1
Not_Staged,Not_Staged,Sagitta,log10(DW_ug) = 3.30 * log10(L_um) - 11.0938,3.3,-11.0938,TL,DW,Hopcroft_et_al_2005,10.1007/s00300-004-0680-7,Arctic;Canada,Matthews_Hestad_1977,Eqn. for Sagitta elegans;very close to Uye_1982 eqn. intercept a bit lower
Not_Staged,Not_Staged,Sagitta elegans,log10(C_ug) = 2.95 * log10(TL_um) - 10.299,2.95,-10.299,TL,C,McLaren_1969,10.1139/f69-139,Baffin Island,NA,NA
Not_Staged,Not_Staged,Sagitta elegans,log10(DW_ug) = 2.91 * log10(TL_um) - 9.52,2.91,-9.52,TL,DW,Nakamura_et_al_2017,10.6620/ZS.2017.56-13,Pacific,Imao_2005,NA
Not_Staged,Not_Staged,Salpidae,log10(DW_ug) = 2.86 * log10(TL_um) - 8.05,2.86,-8.05,TL,DW,Nakamura_et_al_2017,10.6620/ZS.2017.56-13,Pacific,Aono_1999,Thalia democratica aggregate zooid;log10(DW_ug) = 2.73 * log10(L_um) - 7.83 for Salpa fusiformis Nakamura_et_al_2017
Not_Staged,Not_Staged,Scolecitrichidae,log10(DW_ug) = 3.669 * log10(PL_um) - 9.739,3.669,-9.739,PL,DW,Nakamura_et_al_2017,10.6620/ZS.2017.56-13,southern Japan Sea,Yamaguchi_1999,Eqn. Scolecithricella minor;CII-CVI
Not_Staged,Not_Staged,Siphonophora,log10(C_ug) = 0.834 * log10(L_um) - 1.191,0.834,-1.191,TL,C,Lavaniegos_Ohman_2007,10.1016/j.pocean.2007.07.002,Mediterranean,NA,Nectophore height or zooid length;Estimated from Muggiaea atlantica Sphaeronectes gracilis and Abylopsis tetragona from DW-L and C-DW regressions
