stage_code,stage,taxa_name,lit_weight_ug,lit_weight_type,weight_source_primary,weight_doi,weight_location,weight_source_secondary,weight_notes
ZOO_STAGE_024,CV,Calanus finmarchicus,90,C,Campbell_et_al_2001,10.1016/S0967-0645(00)00089-8,Georges Bank;Northeast U.S. Shelf,Davis_1984;Jarvis_2003,NA
ZOO_STAGE_024,CV,Calanus finmarchicus,236.2,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Assmy_et_al_2023;Cornils_et_al_2022;Gluchowska_et_al_2017;Skjoldal_Aarflot_2023;Jarvis_2003;Helenius_et_al_2024,NA
ZOO_STAGE_024,CV,Centropages hamatus,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_024,CV,Centropages hamatus,16,WW,Hernroth_1985,"CIT:Hernroth, L., ed. 1985. Recommendations on Methods for Marine Biological Studies in the Baltic Sea: Mesozooplankton Biomass Assessment. Recommendations 10. 10 Baltic Marine Biologists Working Group 14.",Baltic Sea,NA,NA
ZOO_STAGE_024,CV,Centropages typicus,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_024,CV,Centropages typicus,17.4,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Carlotti_et_al_2007;Bonnet_Carlotti_2001 ,NA
ZOO_STAGE_024,CV,Clausocalanus arcuicornis,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_024,CV,Clausocalanus arcuicornis,55,WW,Razouls_et_al_2005,URL:https://copepodes.obs-banyuls.fr/en/index.php,Mediterranean Sea,Shmeleva_1965,NA
ZOO_STAGE_024,CV,Metridia lucens,12.74,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,NA
ZOO_STAGE_024,CV,Metridia lucens,16.1,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Skjoldal_Aarflot_2023,50 ug DW for CIV-CV Metridia spp. in Skjoldal
ZOO_STAGE_024,CV,Nannocalanus minor,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_024,CV,Nannocalanus minor,70,DW,NA,NA,NA,NA,NA
ZOO_STAGE_024,CV,Paracalanus parvus,2.18,C,Steinberg_unpub,NA,Northeast U.S. Shelf,Huntely_Llopez_1992;Davis_1984,NA
ZOO_STAGE_024,CV,Paracalanus parvus,5.9,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,NA,Paracalanus spp.
ZOO_STAGE_024,CV,Pseudocalanus minutus,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_024,CV,Pseudocalanus minutus,4.31,DW,Davis_1984,10.1007/BF00392761,Northeast U.S. Shelf;Georges Bank,Skjoldal_Aarflot_2023,8 ug DW for CIV-CV Pseudocalanus spp. in Skjoldal
ZOO_STAGE_024,CV,Temora longicornis,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_024,CV,Temora longicornis,13,DW,Pitois_Fox_2006,10.1016/j.icesjms.2006.03.009,Northeast Atlantic,Thompson_Runge_unpub;Cornils_et_al_2022;Gluchowska_et_al_2017,NA
ZOO_STAGE_023,CIV,Calanus finmarchicus,30,C,Campbell_et_al_2001,10.1016/S0967-0645(00)00089-8,Northeast U.S. Shelf;Georges Bank,Davis_1984;Jarvis_2003,NA
ZOO_STAGE_023,CIV,Calanus finmarchicus,87.3,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,Kongsfjorden ,Thompson_Runge_unpub;Cornils_et_al_2022;Gluchowska_et_al_2017;Skjoldal_Aarflot_2023;Jarvis_2003;Helenius_et_al_2024,NA
ZOO_STAGE_023,CIV,Centropages hamatus,4.5,C,Martynova_et_al_2009,https://doi.org/10.1007/s00300-008-0513-1,White Sea,Razouls_et_al_2005,NA
ZOO_STAGE_023,CIV,Centropages hamatus,6,DW,Martynova_et_al_2009,https://doi.org/10.1007/s00300-008-0513-1,White Sea,Razouls_et_al_2005,NA
ZOO_STAGE_023,CIV,Centropages typicus,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_023,CIV,Centropages typicus,8.5,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Carlotti_et_al_2007;Bonnet_Carlotti_2001 ,higher in Bonnet
ZOO_STAGE_023,CIV,Clausocalanus arcuicornis,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_023,CIV,Clausocalanus arcuicornis,25,WW,Razouls_et_al_2005,URL:https://copepodes.obs-banyuls.fr/en/index.php,Mediterranean Sea,Shmeleva_1965,NA
ZOO_STAGE_023,CIV,Metridia lucens,8,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,not for this stage
ZOO_STAGE_023,CIV,Metridia lucens,10.8,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Pitois_Fox_2006,18.3 metridia spp in Thompson_Runge_unpub;12.4 in Pitois and Fox 2006
ZOO_STAGE_023,CIV,Temora longicornis,2.57,C,Martynova_et_al_2009,https://doi.org/10.1007/s00300-008-0513-1,White Sea,NA,NA
ZOO_STAGE_023,CIV,Temora longicornis,3.33,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Martynova_et_al_2009,NA
ZOO_STAGE_022,CIII,Calanus finmarchicus,10,C,Campbell_et_al_2001,10.1016/S0967-0645(00)00089-8,Northeast U.S. Shelf;Georges Bank,Davis_1984,NA
ZOO_STAGE_022,CIII,Calanus finmarchicus,24.4,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Skojdal_Aarflot_2023;Assmy_et_al_2023;Cornils_et_al_2022;Gluchowska_et_al_2017,13;29.5
ZOO_STAGE_022,CIII,Centropages typicus,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_022,CIII,Centropages typicus,8,DW,Bonnet_Carlotti_2001,10.3354/meps224133,Laboratory,Carlotti_et_al_2007,NA
ZOO_STAGE_022,CIII,Clausocalanus arcuicornis,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_022,CIII,Clausocalanus arcuicornis,7,WW,Razouls_et_al_2005,URL:https://copepodes.obs-banyuls.fr/en/index.php,Mediterranean Sea,Shmeleva_1965,NA
ZOO_STAGE_022,CIII,Metridia lucens,3,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,not for this stage
ZOO_STAGE_022,CIII,Metridia lucens,5.4,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Pitois_Fox_2006,NA
ZOO_STAGE_022,CIII,Temora longicornis,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_022,CIII,Temora longicornis,3.3,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Pitois_Fox_2006,NA
ZOO_STAGE_021,CII,Calanus finmarchicus,3,C,Campbell_et_al_2001,10.1016/S0967-0645(00)00089-8,Northeast U.S. Shelf;Georges Bank,Davis_1984,NA
ZOO_STAGE_021,CII,Calanus finmarchicus,8.4,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Skojdal_Aarflot 2023;Assmy_et_al_2023;Cornils_et_al_2022;Gluchowska_et_al_2017,4;11
ZOO_STAGE_021,CII,Clausocalanus arcuicornis,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_021,CII,Clausocalanus arcuicornis,4,WW,Razouls_et_al_2005,URL:https://copepodes.obs-banyuls.fr/en/index.php,Mediterranean Sea,Shmeleva_1965,NA
ZOO_STAGE_021,CII,Metridia lucens,2,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,not for this stage
